2175,8.5,331,468.3,2106.8,319650.5,376225.1,-2077.3
2200,8.5,333,472,2131.6,319648.8,376228.3,-2102.1
2225,7.9,334,475.5,2156.3,319647.2,376231.5,-2126.8
2250,7.5,335,478.8,2181.1,319645.8,376234.5,-2151.6
2275,7.4,333,482,2205.9,319644.3,376237.5,-2176.4
2300,6.9,332,485.1,2230.7,319642.9,376240.2,-2201.2
2325,6.4,332,488,2255.5,319641.6,376242.8,-2226
2350,6.8,333,490.8,2280.3,319640.2,376245.3,-2250.8
2375,6.1,334,493.6,2305.2,319639,376247.8,-2275.7
2400,5.7,334,496.1,2330.1,319637.9,376250.1,-2300.6
2425,5.9,336,498.6,2354.9,319636.8,376252.4,-2325.4
2450,5.1,336,501,2379.8,319635.8,376254.6,-2350.3
2475,4.5,338,503,2404.7,319635,376256.5,-2375.2
2500,4.0,341,504.8,2429.7,319634.3,376258.3,-2400.2
2525,3.7,338,506.4,2454.6,319633.8,376259.8,-2425.1
2550,3.2,338,507.9,2479.6,319633.2,376261.2,-2450.1
2575,3.3,342,509.2,2504.5,319632.8,376262.5,-2475
2585,3.2,342,509.8,2514.5,319632.6,376263,-2485
